0x807110,Class Name,Class Description,Class Number,Default Promotion,Map Sprite# (standing),Walking Speed,Default Portrait,***UNKNOWN***,Base HP,Base STR,Base SKL,Base SPD,Base DEF,Base MDF,Base CON,Base MOV,Max HP,Max STR/MGC,Max SKL,Max SPD,Max DEF,Max MDF,Max CON,Class Relative Power,HP Growth,STR/MGC Growth,SKL Growth,SPD Growth,DEF Growth,MDF Growth,LUK Growth,HP Promotion Bonus,STR/MGC Promotion Bonus,SKL Promotion Bonus,SPD Promotion Bonus,DEF Promotion Bonus,MDF Promotion Bonus,Class Ability 1,Class Ability 2,Class Ability 3,Class Ability 4,Base Sword Level,Base Lance Level,Base Axe Level,Base Bow Level,Base Staff Level,Base Anima Level,Base Light Level,Base Dark Level,Battle Animation Pointer,Movement Type Pointer,Movement Cost(rain) Pointer,Movement Cost(snow) Pointer,Terrain avoid bonus,Terrain defence bonus,Terrain resistance bonus,***UNKNOWN*** Pointer
None,0x0,0x0,0x0,0x0,0x0,0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,42,5,37,0,0,65,0,0,0x2,0x0,0x0,0x1,0,0,0,0,0,0,0,0,0x1f,0x0,0x231e143c,0x190f0f,0x0,0x0,0x0,0x0
Sibyl,Sibyl_Name,Sibyl_Desc,0x1,0x3,0x0,0,0x8b,0x1,18,6,6,7,6,0,8,5,60,20,20,20,20,20,20,3,95,50,45,50,20,20,45,0,0,0,0,0,0,0x0,0x0,0x0,0x20,0,0,0,0,31,0,0,0,SibylAnim|IsPointer,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0x0
Hobelar,Hobelar_Name,Hobelar_Desc,0x2,0x4,0x1,0,0x8b,0x1,18,6,6,7,6,0,8,7,60,20,20,20,20,20,20,3,95,50,45,50,20,25,45,0,0,0,0,0,0,0x3,0x24,0x0,0x0,1,1,0,0,0,0,0,0,ConallAnim|IsPointer,0x880ba92,0x880bee3,0x880c2f3,0x880c479,0x880c4ba,0x880c4fb,0x0
Theurge,Theurge_Name,Theurge_Desc,0x3,0x1,0x2,0,0x8b,0x2,18,3,3,4,5,0,10,7,60,27,26,24,23,23,25,3,95,50,45,50,20,20,45,4,2,3,2,2,5,0x3,0x5,0x0,0x20,0,71,0,0,0,0,0,0,0x88aeff0,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,0x0
Dracolord,Dracolord_Name,Dracolord_Desc,0x4,0x2,0x3,0,0x8b,0x2,18,3,3,4,5,0,7,7,60,24,29,30,22,25,25,3,95,50,45,50,20,25,45,4,2,2,1,3,5,0x3,0x5,0x2,0x10,71,0,0,0,0,0,0,0,0x88aeffc,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,0x0
Lnc. Cav,Lcav_Name,Lcav_Desc,0x5,0x7,0x4,0,0x80,0x20,20,5,2,5,4,1,9,7,60,20,20,20,20,20,25,3,80,40,45,33,20,20,35,0,0,0,0,0,0,0x3,0x4,0x0,0x0,0,31,0,0,0,0,0,0,CavalierMAnim|IsPointer,0x880ba92,0x880bee3,0x880c2f3,0x880c479,0x880c4ba,0x880c4fb,0x0
Lnc. Cav (F),Lcav_Name,Lcav_Desc,0x6,0x8,0x63,0,0x80,0x20,18,5,3,4,4,2,9,7,60,20,20,20,20,20,25,3,80,40,45,33,20,20,35,1,0,2,2,0,2,0x3,0x4,0x0,0x0,0,31,0,0,0,0,0,0,CavalierFAnim|IsPointer,0x880ba92,0x880bee3,0x880c2f3,0x880c479,0x880c4ba,0x880c4fb,0x0
Gold Knight,GoldKnight_Name,GoldKnight_Desc,0x7,0x5,0x5,0,0x81,0x21,23,7,4,7,8,3,11,8,60,25,26,24,25,25,25,3,75,30,35,23,17,25,30,2,1,1,1,2,1,0x3,0x5,0x0,0x0,31,0,31,0,0,0,0,0,GoldKnightAnim|IsPointer,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,0x0
Silver Knight,SilverKnight_Name,SilverKnight_Desc,0x8,0x6,0x62,0,0x81,0x21,23,6,6,11,7,6,9,8,60,23,27,25,24,26,25,3,75,30,40,30,17,30,30,1,1,1,2,1,2,0x3,0x5,0x0,0x0,0,31,0,31,0,0,0,0,0x88af038,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,0x0
Lance Knight,Lknight_Name,Lknight_Desc,0x9,0xb,0x6,1,0x76,0xc,17,5,2,0,9,0,13,5,60,20,20,20,20,20,20,3,85,45,35,20,33,25,30,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,31,0,0,0,0,0,0,KnightAnim|IsPointer,0x880b88a,0x880bcdb,0x880c0eb,0x880c479,0x880c4ba,0x880c4fb,0x0
